,unmasked_text,masked_text,phone_number,target
270,"Karine85 is seeking legal advice, could you connect via phone 076-0101051?","[USERNAME_1] is seeking legal advice, could you connect via phone [PHONENUMBER_1]?",076-0101051,O
271,"Dear Parents, the lost and found bin in school is overflowing! Parents located at 10156-4613 may come by to claim items. For details, call us at 035.160-7891.","Dear Parents, the lost and found bin in school is overflowing! Parents located at [ZIPCODE_1] may come by to claim items. For details, call us at [PHONENUMBER_1].",035.160-7891,O
272,"Elmer's school meals balance is at Kuwaiti Dinar RM, to be paid to discover. Contact +09-303.658 9246 for card issues.","[FIRSTNAME_1]'s school meals balance is at [CURRENCY_1] [CURRENCYSYMBOL_1], to be paid to [CREDITCARDISSUER_1]. Contact [PHONENUMBER_1] for card issues.",+09-303.658 9246,TEL
273,"To access the full version of the new self-paced courses, ensure Bitcoin address 37Ly5aiQUUsCdSGcLz8BhPEMxkGekd7rRUBLbJH4 is funded. The total cost is P862039.05. Should you have any issues, do not hesitate to contact our support line at 00165.201662.","To access the full version of the new self-paced courses, ensure Bitcoin address [BITCOINADDRESS_1] is funded. The total cost is [CURRENCYSYMBOL_1][AMOUNT_1]. Should you have any issues, do not hesitate to contact our support line at [PHONENUMBER_1].",00165.201662,O
274,In need of urgent attention. Found suspicious endocrine patterns in our 6 years old Demi-woman dataset. Get in touch 004-8954-2874.,In need of urgent attention. Found suspicious endocrine patterns in our [AGE_1] old [GENDER_1] dataset. Get in touch [PHONENUMBER_1].,004-8954-2874,O
275,"Greetings Estella, we detected a technical issue related to your diagnostic system with IP: 166.110.14.98. Please contact us at +12.196 182 2449 for assistance.","Greetings [FIRSTNAME_1], we detected a technical issue related to your diagnostic system with IP: [IPV4_1]. Please contact us at [PHONENUMBER_1] for assistance.",+12.196 182 2449,TEL
276,"Hello Edgar, please join us to a transdisciplinary psycho-oncology course essential for Security personnel. Visit https://wide-eyed-variable.biz/ for more details about the structure of the course and kindly confirm your attendance through 011.0374177. Regards, Altenwerth","Hello [FIRSTNAME_1], please join us to a transdisciplinary psycho-oncology course essential for [JOBAREA_1] personnel. Visit [URL_1] for more details about the structure of the course and kindly confirm your attendance through [PHONENUMBER_1]. Regards, [LASTNAME_1]",011.0374177,O
277,"Plan for Checking Account classroom management. Required documents secured under 148.193.74.178, 1FK21eVCQ3BjVJ4WZoenTu8KhP8qed387PdEFJfA, 75645954965. Updates due by 6/88, contact 08 1027.5554 for concerns. Male's rep should sign-off. Suite 546 provided as alternative address.","Plan for [ACCOUNTNAME_1] classroom management. Required documents secured under [IPV4_1], [BITCOINADDRESS_1], [SSN_1]. Updates due by [DOB_1], contact [PHONENUMBER_1] for concerns. [SEX_1]'s rep should sign-off. [SECONDARYADDRESS_1] provided as alternative address.",08 1027.5554,O
278,"Hello Harmon, our team in Lake Jamison is researching on Social Emotional Learning. Please share your findings with us. Call us on +45 395.094.7405.","Hello [FIRSTNAME_1], our team in [CITY_1] is researching on Social Emotional Learning. Please share your findings with us. Call us on [PHONENUMBER_1].",+45 395.094.7405,TEL
279,"On behalf of Grant Rory, a claim has been filed associated with an accident on June 24, 1962. The vehicle concerned carries the VRM RE99NQG. Reach us at 0504 54007995 or Mary.OKeefe38@yahoo.com for more information.","On behalf of [FIRSTNAME_1] [MIDDLENAME_1], a claim has been filed associated with an accident on [DATE_1]. The vehicle concerned carries the VRM [VEHICLEVRM_1]. Reach us at [PHONENUMBER_1] or [EMAIL_1] for more information.",0504 54007995,O
280,"Hello Ms. Edd, Your account Auto Loan Account number 44173282 has a balance of 472551.33 Moroccan Dirham. Please make sure to clear it by end of this month. You can contact us on 004.512-0488 or Leatha.Steuber@hotmail.com for any financial concerns regarding your therapy sessions.","Hello [PREFIX_1] [FIRSTNAME_1], Your account [ACCOUNTNAME_1] number [ACCOUNTNUMBER_1] has a balance of [AMOUNT_1] [CURRENCYNAME_1]. Please make sure to clear it by end of this month. You can contact us on [PHONENUMBER_1] or [EMAIL_1] for any financial concerns regarding your therapy sessions.",004.512-0488,O
281,"Opening of the new arts section on 14/06/1946 in Corsica. Looking forward to seeing you there. For further queries, contact 07908.87710.","Opening of the new arts section on [DOB_1] in [STATE_1]. Looking forward to seeing you there. For further queries, contact [PHONENUMBER_1].",07908.87710,O
282,"Good news for Male over 60, free vaccine sessions are available for you all. More info on New Leu. Call us at 042-4881206.","Good news for [SEX_1] over 60, free vaccine sessions are available for you all. More info on [CURRENCYNAME_1]. Call us at [PHONENUMBER_1].",042-4881206,O
283,"Dear Gillian, we've sent a link to your email: Julia.Casper@yahoo.com which allows you to download high-res versions of your CT scan.  If you did not receive the link, call (71) 4087.6145.","Dear [FIRSTNAME_1], we've sent a link to your email: [EMAIL_1] which allows you to download high-res versions of your CT scan.  If you did not receive the link, call [PHONENUMBER_1].",(71) 4087.6145,O
284,"Dear Senior Integration Agent, regarding patient number 4666774796602688 born on 14/12/1936, we've observed positive progress. Though their 27 years presents some challenges, we believe our efforts are fruitful. Contact us via https://well-made-android.net or 0277 34235336 at 1 AM for detailed updates.","Dear [JOBTITLE_1], regarding patient number [MASKEDNUMBER_1] born on [DOB_1], we've observed positive progress. Though their [AGE_1] presents some challenges, we believe our efforts are fruitful. Contact us via [URL_1] or [PHONENUMBER_1] at [TIME_1] for detailed updates.",0277 34235336,O
285,One of the most interesting facts we discovered in our Positive Psychology research is the correlation between health and Data. Any questions? Dial (92).9213-1272 for more insights.,One of the most interesting facts we discovered in our Positive Psychology research is the correlation between health and [JOBAREA_1]. Any questions? Dial [PHONENUMBER_1] for more insights.,(92).9213-1272,O
286,"On 3/23 at 3 PM, Dr. Edyth Drew Franecki will conduct an interactive session on the impact of social media on individual behavior. For inquiries, contact us at 050.0154004 or Verona_Moore28@hotmail.com.","On [DATE_1] at [TIME_1], [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] will conduct an interactive session on the impact of social media on individual behavior. For inquiries, contact us at [PHONENUMBER_1] or [EMAIL_1].",050.0154004,O
287,"Dear Macie, we'd like to discuss the progress of Bret in the Gifted Education Program. Can you reach us at (04)-2595-4749 or Esther41@hotmail.com?","Dear [FIRSTNAME_1], we'd like to discuss the progress of [FIRSTNAME_2] in the Gifted Education Program. Can you reach us at [PHONENUMBER_1] or [EMAIL_1]?",(04)-2595-4749,O
288,"I was at [76.1651,-175.3911] when I received your call 09.09 85 09.33 regarding the legal ethics conference. Thank you for bringing Corporate Integration Supervisor Joy Abernathy to discuss ethical dilemmas in our Web.",I was at [NEARBYGPSCOORDINATE_1] when I received your call [PHONENUMBER_1] regarding the legal ethics conference. Thank you for bringing [JOBTITLE_1] [FIRSTNAME_1] [LASTNAME_1] to discuss ethical dilemmas in our [JOBAREA_1].,09.09 85 09.33,O
289,"""Hello Transgender female, We've noticed multiple logins from your account Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2)  AppleWebKit/532.2.0 (KHTML, like Gecko) Chrome/36.0.884.0 Safari/532.2.0 over the past few days. It could be a security issue, please contact us at +64-85 822-9567""","""Hello [GENDER_1], We've noticed multiple logins from your account [USERAGENT_1] over the past few days. It could be a security issue, please contact us at [PHONENUMBER_1]""",+64-85 822-9567,O
290,Medical studies suggest that people with Amber are more susceptible to XYD disease. Check with your local GP or call us on 08907-491442.,Medical studies suggest that people with [EYECOLOR_1] are more susceptible to XYD disease. Check with your local GP or call us on [PHONENUMBER_1].,08907-491442,O
291,"Subject: Education Fund Approval - Alfred Little. Bettie, your request for an educational fund of J$237,190.56 has been processed. Contact us on +389 87-323 9633 or Curt35@gmail.com for any queries.","Subject: Education Fund Approval - [FIRSTNAME_1] [LASTNAME_1]. [FIRSTNAME_2], your request for an educational fund of [CURRENCYSYMBOL_1][AMOUNT_1] has been processed. Contact us on [PHONENUMBER_1] or [EMAIL_1] for any queries.",+389 87-323 9633,O
292,"Patient Wava Hagenes, your surgical procedure has been scheduled for 1971-09-28T07:46:15.090Z at 22 o'clock. Please plan to arrive at 60271 Ernestina Hills. Contact us at this phone number +617.561.259-0606 for further clarifications.","Patient [FIRSTNAME_1] [LASTNAME_1], your surgical procedure has been scheduled for [DATE_1] at [TIME_1]. Please plan to arrive at [BUILDINGNUMBER_1] [STREET_1]. Contact us at this phone number [PHONENUMBER_1] for further clarifications.",+617.561.259-0606,O
293,"Need a East Jed property's legal documentation. Contact person: Coralie Hermiston, Ph: 0001.10919471, or Email Josiane71@hotmail.com.","Need a [CITY_1] property's legal documentation. Contact person: [FIRSTNAME_1] [LASTNAME_1], Ph: [PHONENUMBER_1], or Email [EMAIL_1].",0001.10919471,O
294,Diagnostic tool for my car is not responding. The vehicle's VIN is ND4PMLV4ZARP42585 and VRM is DI68FAH. There's no response on 2318 059 2606 as well,Diagnostic tool for my car is not responding. The vehicle's VIN is [VEHICLEVIN_1] and VRM is [VEHICLEVRM_1]. There's no response on [PHONENUMBER_1] as well,2318 059 2606,TEL
295,"Franchise 9957029551439102 at Kshlerin Cove, Hayden, showing unrecorded transactions. Please validate at +63.97-501 5218 using 9995 for secure access.","Franchise [CREDITCARDNUMBER_1] at [STREET_1], [MIDDLENAME_1], showing unrecorded transactions. Please validate at [PHONENUMBER_1] using [PIN_1] for secure access.",+63.97-501 5218,O
296,Patient case- 75680276229: Diagnosed with a collapsed disc in the spine. Is currently 149cm. Will require multiple sessions. ₨ will be required per session. Please contact on +866.045.929 0550.,Patient case- [SSN_1]: Diagnosed with a collapsed disc in the spine. Is currently [HEIGHT_1]. Will require multiple sessions. [CURRENCYSYMBOL_1] will be required per session. Please contact on [PHONENUMBER_1].,+866.045.929 0550,O
297,"Hey team, I need to schedule an occupational therapy session for Jillian Kozey. She's a 61 years Female from West Art. I need someone who specializes in seniors' therapy. Respond to confirm or contact me at +645-350.168-5312.","Hey team, I need to schedule an occupational therapy session for [FIRSTNAME_1] [LASTNAME_1]. She's a [AGE_1] [SEX_1] from [CITY_1]. I need someone who specializes in seniors' therapy. Respond to confirm or contact me at [PHONENUMBER_1].",+645-350.168-5312,O
298,"Hello Miles. Just want to update our company, Ernser - Becker's change management plan. Feel free to reach me on my new number (95) 2600-9158 or Elliot10@gmail.com.","Hello [FIRSTNAME_1]. Just want to update our company, [COMPANYNAME_1]'s change management plan. Feel free to reach me on my new number [PHONENUMBER_1] or [EMAIL_1].",(95) 2600-9158,O
299,How is the effectiveness of the reflexology therapy? You can send the details to +31-975-008 4700 or Gilda84@gmail.com. Do mention about costs.,How is the effectiveness of the reflexology therapy? You can send the details to [PHONENUMBER_1] or [EMAIL_1]. Do mention about costs.,+31-975-008 4700,TEL
300,Important: We've made advancements in diet plans that can boost health for 2.07m people. Please contact 017-986-6535 immediately.,Important: We've made advancements in diet plans that can boost health for [HEIGHT_1] people. Please contact [PHONENUMBER_1] immediately.,017-986-6535,TEL
301,Internal Factors Planner Mrs. Jamie Phoenix Mayert will give a brief on Legal matters arising in Essex. Follow https://normal-wetland.net on 12/11/1909. Contact on +989 07 592.1142 for any query.,[JOBTITLE_1] [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] will give a brief on Legal matters arising in [COUNTY_1]. Follow [URL_1] on [DATE_1]. Contact on [PHONENUMBER_1] for any query.,+989 07 592.1142,O
302,"Dear parents, Cisgender male Bianka London Howell has been appointed as our new Early Childhood Education Coordinator, effective from 21/06/1921. You can contact her at +05.853.196 3163 or Brennan.Sporer@hotmail.com.","Dear parents, [GENDER_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] has been appointed as our new Early Childhood Education Coordinator, effective from [DATE_1]. You can contact her at [PHONENUMBER_1] or [EMAIL_1].",+05.853.196 3163,TEL
303,"Sensitive subject, Amara. After review of your recent psycho-oncology screenings, we suggest you schedule an urgent meeting. Please call us at 0355.34363605 or email: Hassan74@hotmail.com, or better still, visit https://serpentine-mall.name/.","Sensitive subject, [FIRSTNAME_1]. After review of your recent psycho-oncology screenings, we suggest you schedule an urgent meeting. Please call us at [PHONENUMBER_1] or email: [EMAIL_1], or better still, visit [URL_1].",0355.34363605,O
304,"Dear Noah, the Health and Wellness Program you signed up for at 57025 Meaghan Mission in Hesse starts on 22/08/1928. Call +198.460.677-3343 for queries.","Dear [MIDDLENAME_1], the Health and Wellness Program you signed up for at [BUILDINGNUMBER_1] [STREET_1] in [STATE_1] starts on [DOB_1]. Call [PHONENUMBER_1] for queries.",+198.460.677-3343,O
305,Our Chief Solutions Coordinator for Directives is filing a suit. We require your legal counsel's (432).7187648.,Our [JOBTITLE_1] for [JOBAREA_1] is filing a suit. We require your legal counsel's [PHONENUMBER_1].,(432).7187648,O
306,"To facilitate a room inquiry at 851 during our team learning session on educational leadership, connect with Trystan at 031.948 2634.","To facilitate a room inquiry at [BUILDINGNUMBER_1] during our team learning session on educational leadership, connect with [FIRSTNAME_1] at [PHONENUMBER_1].",031.948 2634,O
307,"In order to discuss the property law, please connect with our lead National Data Producer, Brooklyn Larkin at 5206-700-6484 ASAP.","In order to discuss the property law, please connect with our lead [JOBTITLE_1], [FIRSTNAME_1] [LASTNAME_1] at [PHONENUMBER_1] ASAP.",5206-700-6484,TEL
308,Our school will be hosting an art exhibition in Franklin County on 2/40! Here is a link to the registration form (https://abandoned-anesthesiologist.info). Please contact me at +98.39 064 9405 if you have any queries.,Our school will be hosting an art exhibition in [COUNTY_1] on [DATE_1]! Here is a link to the registration form ([URL_1]). Please contact me at [PHONENUMBER_1] if you have any queries.,+98.39 064 9405,O
309,The current case deals with a client whose primary phone number recorded as 02.33-14 70 43 is accused of dark web transactions. The unknown party used the VPN IP address 24f2:b1e6:c970:def8:fd7b:b6ff:8aab:d4a9 to obscure their actual location. More details required to unlock the case.,The current case deals with a client whose primary phone number recorded as [PHONENUMBER_1] is accused of dark web transactions. The unknown party used the VPN IP address [IPV6_1] to obscure their actual location. More details required to unlock the case.,02.33-14 70 43,O
310,"We have scheduled a parents meeting on 04/07/1959 at Broomfield Public School on Torp Lane, 233. The objective is to discuss the overall progress of the students. For any queries, please contact us on +475-15-826.5019","We have scheduled a parents meeting on [DATE_1] at [CITY_1] Public School on [STREET_1], [BUILDINGNUMBER_1]. The objective is to discuss the overall progress of the students. For any queries, please contact us on [PHONENUMBER_1]",+475-15-826.5019,O
311,"3. Task: Monitor 5f4d:b68c:e416:9c7a:0f52:729e:507c:d2fc and 78.141.190.65 for potential hate speech originated from Robynstad, Obwalden contributing to violation of civil rights. Capture and report any anomalies to Antonia Bernhard at Christop_Kuvalis@gmail.com or 010.138-9902.","3. Task: Monitor [IP_1] and [IPV4_1] for potential hate speech originated from [CITY_1], [STATE_1] contributing to violation of civil rights. Capture and report any anomalies to [FIRSTNAME_1] [LASTNAME_1] at [EMAIL_1] or [PHONENUMBER_1].",010.138-9902,O
312,"Patient 9900828335738847, a 14 years old from our Merseyside branch shows great progress in their therapy. Communicate with our team on 090 2936163 for further correspondence.","Patient [MASKEDNUMBER_1], a [AGE_1] old from our [COUNTY_1] branch shows great progress in their therapy. Communicate with our team on [PHONENUMBER_1] for further correspondence.",090 2936163,TEL
313,We are missing insurance info for Alexie Balistreri with SSN 370-53-4326 on file. Please contact them at 008 512.2635 to ensure we get the details prior to their next appointment on 5/02.,We are missing insurance info for [FIRSTNAME_1] [LASTNAME_1] with SSN [SSN_1] on file. Please contact them at [PHONENUMBER_1] to ensure we get the details prior to their next appointment on [DATE_1].,008 512.2635,O
314,We need Kaylee London Rutherford's contact 057-498.1677 for witnesses. Waiting for CCTV footage accessed using browser Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1; .NET CLR 2.2.61638.9) to find more leads.,We need [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1]'s contact [PHONENUMBER_1] for witnesses. Waiting for CCTV footage accessed using browser [USERAGENT_1] to find more leads.,057-498.1677,O
315,"We have organized a volunteer Animal-assisted Therapy program at NorthEast Southwest. We request your presence at 6:42 PM 10:42pm. If you are interested, please contact a representative at +883-427-215-5285.","We have organized a volunteer Animal-assisted Therapy program at NorthEast [ORDINALDIRECTION_1]. We request your presence at 6:42 PM [TIME_1]. If you are interested, please contact a representative at [PHONENUMBER_1].",+883-427-215-5285,O
316,"Dear Santino, This is a gentle reminder to make the payment for your upcoming endocrinology session. You can conveniently pay via Bitcoin at: 3KauVT7WKWccV2s38L5mbxuXw2RDrq. Incase of any issues, get in touch with our help desk at 08978 374839.","Dear [FIRSTNAME_1], This is a gentle reminder to make the payment for your upcoming endocrinology session. You can conveniently pay via Bitcoin at: [BITCOINADDRESS_1]. Incase of any issues, get in touch with our help desk at [PHONENUMBER_1].",08978 374839,O
317,"Check the HQ80PRX of transport for delivering medical devices to Walsh Dale, Suite Suite 593, Skilesfurt, Glarus. Our rep, Senger, will call from 035.070-3462 upon arrival.","Check the [VEHICLEVRM_1] of transport for delivering medical devices to [STREET_1], Suite [SECONDARYADDRESS_1], [CITY_1], [STATE_1]. Our rep, [LASTNAME_1], will call from [PHONENUMBER_1] upon arrival.",035.070-3462,O
318,Get in touch with Anissa's parent at 04968 79908 to explain program details.,Get in touch with [FIRSTNAME_1]'s parent at [PHONENUMBER_1] to explain program details.,04968 79908,TEL
319,Hi it’s Colleen. Note down the new clinic number 0006 84963858. Please save it for future reference.,Hi it’s [FIRSTNAME_1]. Note down the new clinic number [PHONENUMBER_1]. Please save it for future reference.,0006 84963858,O
320,"An appointment has been set for your telemedicine consultation. The consultation fees will be charged Tunisian Dinar 0.000b under the account of Murray. For any errors, please email Kiley_Beatty@hotmail.com or call +123.253-471 0469.","An appointment has been set for your telemedicine consultation. The consultation fees will be charged [CURRENCY_1] [AMOUNT_1] under the account of [FIRSTNAME_1]. For any errors, please email [EMAIL_1] or call [PHONENUMBER_1].",+123.253-471 0469,O
321,"Attention Ocie Hettinger, a cognitive therapy session has been scheduled on 2/05 at 12:21pm with our Orchestrator at 19381 Albany Road. This will cost you $ 297024.50. You can reach out to us at Augustus.OKon@yahoo.com or call us at +496-50 420 1604 for any queries.","Attention [FIRSTNAME_1] [LASTNAME_1], a cognitive therapy session has been scheduled on [DATE_1] at [TIME_1] with our [JOBTYPE_1] at [BUILDINGNUMBER_1] [STREET_1]. This will cost you $ [AMOUNT_1]. You can reach out to us at [EMAIL_1] or call us at [PHONENUMBER_1] for any queries.",+496-50 420 1604,O
322,Emergency hotline for ICU 095-023 7482. Calls made from IP: e8a6:af8a:5e9f:3c3c:af88:6e10:7af7:9ed9 are complimentary as a part of our patient care service.,Emergency hotline for ICU [PHONENUMBER_1]. Calls made from IP: [IP_1] are complimentary as a part of our patient care service.,095-023 7482,O
323,"To register for the Chess Championship, send your details to 011-593.7442 along with proof of payment made to 25668245.","To register for the Chess Championship, send your details to [PHONENUMBER_1] along with proof of payment made to [ACCOUNTNUMBER_1].",011-593.7442,O
324,"Kindly note, our counseling day is on 25th November. Book your appointment, contact our counseling office on +930 80 674.1889. Meeting location: Justus Radial 78951.","Kindly note, our counseling day is on [DATE_1]. Book your appointment, contact our counseling office on [PHONENUMBER_1]. Meeting location: [STREET_1] [BUILDINGNUMBER_1].",+930 80 674.1889,O
325,"In our next Web departmental meeting, we are discussing ethical implications of storing digital health records (01-255784-572922-2, (241) 3837766, 900 27 4787). Your presence Anissa would be valuable.","In our next [JOBAREA_1] departmental meeting, we are discussing ethical implications of storing digital health records ([PHONEIMEI_1], [PHONENUMBER_1], [SSN_1]). Your presence [FIRSTNAME_1] would be valuable.",(241) 3837766,O
326,"We invite you to the healthcare seminar at West Virginia. Your flight and hotel have been arranged. If you need any additional details, please contact 05-15 20 20-28 or email at Noel_Wunsch@yahoo.com.","We invite you to the healthcare seminar at [STATE_1]. Your flight and hotel have been arranged. If you need any additional details, please contact [PHONENUMBER_1] or email at [EMAIL_1].",05-15 20 20-28,O
327,"During the weekend, our student portal will be undergoing changes. For more details, please get in touch with the school through 015-8409032 or Dominique.Romaguera@gmail.com.","During the weekend, our student portal will be undergoing changes. For more details, please get in touch with the school through [PHONENUMBER_1] or [EMAIL_1].",015-8409032,O
328,"We are organizing a 'Clean Nottinghamshire' campaign needing volunteers. Being our esteemed Legacy Accountability Strategist, we thought you'd be interested. To sign up, call 0373.61251714 or visit https://villainous-erosion.com.","We are organizing a 'Clean [COUNTY_1]' campaign needing volunteers. Being our esteemed [JOBTITLE_1], we thought you'd be interested. To sign up, call [PHONENUMBER_1] or visit [URL_1].",0373.61251714,O
329,"Hi, I am email on behave of my 43 years old year old Gender neutral parent who is in need of chronic disease management. Could you contact us on (283)-9968121? Thank you in advance.","Hi, I am email on behave of my [AGE_1] year old [GENDER_1] parent who is in need of chronic disease management. Could you contact us on [PHONENUMBER_1]? Thank you in advance.",(283)-9968121,O
330,Disciplinary actions will be taken against the users of IP f5f7:5a8a:62ad:dcbe:a55b:ba93:120f:8c1e due to consistent rule violations in our e-learning platform. Reach us at 06063.04785 for further discussions.,Disciplinary actions will be taken against the users of IP [IP_1] due to consistent rule violations in our e-learning platform. Reach us at [PHONENUMBER_1] for further discussions.,06063.04785,O
331,"Our research on Positive Psychology involves a sample of 62 years participants drawn from various sectors, primarily Identity. We are also examining the role of environmental factors, using [72.923,91.6181] for analysis. Should you need more details, reach us at 094.505.5487.","Our research on Positive Psychology involves a sample of [AGE_1] participants drawn from various sectors, primarily [JOBAREA_1]. We are also examining the role of environmental factors, using [NEARBYGPSCOORDINATE_1] for analysis. Should you need more details, reach us at [PHONENUMBER_1].",094.505.5487,TEL
332,"Received an abusive call from 067-726-7553. User seemed agitated, disoriented. Can we have a Bigender agent make a follow-up call?","Received an abusive call from [PHONENUMBER_1]. User seemed agitated, disoriented. Can we have a [GENDER_1] agent make a follow-up call?",067-726-7553,TEL
333,"Violette Cole, our keynote speaker from Veneto will be discussing emerging trends in leadership. For queries, call at 084-450 6407.","[FIRSTNAME_1] [LASTNAME_1], our keynote speaker from [STATE_1] will be discussing emerging trends in leadership. For queries, call at [PHONENUMBER_1].",084-450 6407,O
334,"To continue providing cognitive therapy sessions, we need to charge your credit card 7722456093091626 from discover for the amount of ₪806k. Please confirm the charge by replying to this email (Eddie.Rodriguez@yahoo.com) or calling us at (85)-1309 2446.","To continue providing cognitive therapy sessions, we need to charge your credit card [CREDITCARDNUMBER_1] from [CREDITCARDISSUER_1] for the amount of [CURRENCYSYMBOL_1][AMOUNT_1]. Please confirm the charge by replying to this email ([EMAIL_1]) or calling us at [PHONENUMBER_1].",(85)-1309 2446,O
335,"The property in Perry County, code 58142-7506 is subject to taxation. The late payment of BZ$755224.62 needs settling. Call me at 03941-74650 or email me from the website https://direct-inglenook.net. Dr. Micah, Architect.","The property in [COUNTY_1], code [ZIPCODE_1] is subject to taxation. The late payment of [CURRENCYSYMBOL_1][AMOUNT_1] needs settling. Call me at [PHONENUMBER_1] or email me from the website [URL_1]. [PREFIX_1] [MIDDLENAME_1], [JOBTYPE_1].",03941-74650,O
336,Notice - We have done a speculative GDPR re-validation due to a recent data breach of your 1tL8zdtCohVGsEVcb2HNzbA1wxsXcTeF7PMbGrq. Please reset your password (_LLdF0UvTTPc) as soon as possible. Contact our support team via +097 059.483.5791.,Notice - We have done a speculative GDPR re-validation due to a recent data breach of your [BITCOINADDRESS_1]. Please reset your password ([PASSWORD_1]) as soon as possible. Contact our support team via [PHONENUMBER_1].,+097 059.483.5791,O
337,"Dear parents, our annual school trip is scheduled for 30/04/1955 and we will be heading to the Southwest. Please call 2388-645.9824 if you have any questions.","Dear parents, our annual school trip is scheduled for [DATE_1] and we will be heading to the [ORDINALDIRECTION_1]. Please call [PHONENUMBER_1] if you have any questions.",2388-645.9824,TEL
338,Join us in reshaping the future of healthcare. You can reach us at +81.51.118 1044. Let’s make Sardinia a healthy state.,Join us in reshaping the future of healthcare. You can reach us at [PHONENUMBER_1]. Let’s make [STATE_1] a healthy state.,+81.51.118 1044,O
339,We are delighted to inform you that we are planning our next educational field trip to a farm in Aargau. Students will have a chance to learn about farm animals and machinery. Interested parents can call us at 01693.29215.,We are delighted to inform you that we are planning our next educational field trip to a farm in [STATE_1]. Students will have a chance to learn about farm animals and machinery. Interested parents can call us at [PHONENUMBER_1].,01693.29215,O
340,"Parent volunteers needed for our school's Computer Place. Any parent in 38777 with some computer skills, please call 04-28-51-84 05. Let’s enhance our children’s digital learning environment together.","Parent volunteers needed for our school's Computer Place. Any parent in [ZIPCODE_1] with some computer skills, please call [PHONENUMBER_1]. Let’s enhance our children’s digital learning environment together.",04-28-51-84 05,O
341,"We've launched a tele-maternity healthcare service. Mothers in 40977-3552 can reach out to our advisors at 0589 657-2107. Internet required, please ensure your device's User-Agent is compatible, Mozilla/5.0 (Windows NT 5.3; WOW64; rv:14.2) Gecko/20100101 Firefox/14.2.5 is recommended.","We've launched a tele-maternity healthcare service. Mothers in [ZIPCODE_1] can reach out to our advisors at [PHONENUMBER_1]. Internet required, please ensure your device's User-Agent is compatible, [USERAGENT_1] is recommended.",0589 657-2107,TEL
342,"The oncology department should expect patient Aaliyah Kirlin next week. Her contact details: 13-976867-073006-4, 01132-396980 should be noted.","The oncology department should expect patient [FIRSTNAME_1] [LASTNAME_1] next week. Her contact details: [PHONEIMEI_1], [PHONENUMBER_1] should be noted.",01132-396980,O
343,"Hey Madilyn! Get a 10% rebate on premium amounts while claiming deductions under section 80D. For more details, call 05051 62596 or connect us at https://positive-straw.biz/.","Hey [FIRSTNAME_1]! Get a 10% rebate on premium amounts while claiming deductions under section 80D. For more details, call [PHONENUMBER_1] or connect us at [URL_1].",05051 62596,TEL
344,"We are planning a field trip to the Vaud National Park. This experience will offer our students a unique opportunity to connect with nature. In case of any queries, please feel free to contact us on +075-849-229 5685.","We are planning a field trip to the [STATE_1] National Park. This experience will offer our students a unique opportunity to connect with nature. In case of any queries, please feel free to contact us on [PHONENUMBER_1].",+075-849-229 5685,O
345,"Dear Damien, as a mental health advocate, I'm organizing an event this 02/01/1932. Can you please confirm your attendance by calling on +300-967.612.5762 between 13:56 - 22?","Dear [FIRSTNAME_1], as a mental health advocate, I'm organizing an event this [DATE_1]. Can you please confirm your attendance by calling on [PHONENUMBER_1] between [TIME_1] - [TIME_2]?",+300-967.612.5762,O
346,Hazel Thiel is our new helpdesk assistant. She should be contacted via Gardner_Bahringer@hotmail.com or +065 50-938.0225 for any IT-related queries.,[FIRSTNAME_1] [LASTNAME_1] is our new helpdesk assistant. She should be contacted via [EMAIL_1] or [PHONENUMBER_1] for any IT-related queries.,+065 50-938.0225,O
347,"Forward Applications Supervisor, Kaleb Leffler will represent us at the Tayside biz forum on 02/02/2010 at 17. You can reach out to her at +901-31 325.0650 or Angie_Jones29@yahoo.com","[JOBTITLE_1], [FIRSTNAME_1] [LASTNAME_1] will represent us at the [COUNTY_1] biz forum on [DATE_1] at [TIME_1]. You can reach out to her at [PHONENUMBER_1] or [EMAIL_1]",+901-31 325.0650,O
348,"As per our meeting on August 6, 1913, we've revised the change management program for Directives. Contact Karley Schimmel at 080.5419515 or Leland_Wolf@hotmail.com for any questions.","As per our meeting on [DATE_1], we've revised the change management program for [JOBAREA_1]. Contact [FIRSTNAME_1] [LASTNAME_1] at [PHONENUMBER_1] or [EMAIL_1] for any questions.",080.5419515,O
349,I wish to discuss the future protection plans for my patented innovations. I'm available at 23:33 on phone number 052 207.9281. Thank you.,I wish to discuss the future protection plans for my patented innovations. I'm available at [TIME_1] on phone number [PHONENUMBER_1]. Thank you.,052 207.9281,O
350,"Dear Reinger, as your Analyst I've been trying to reach you at 0515.72481847. There seems to be an issue in settling the annual subscription of 881k that you paid via your account 56505319.","Dear [LASTNAME_1], as your [JOBTYPE_1] I've been trying to reach you at [PHONENUMBER_1]. There seems to be an issue in settling the annual subscription of [AMOUNT_1] that you paid via your account [ACCOUNTNUMBER_1].",0515.72481847,O
