,unmasked_text,masked_text
283,"Dear Gillian, we've sent a link to your email: Julia.Casper@yahoo.com which allows you to download high-res versions of your CT scan. Parkinson’s Disease is not something you should face alone. If you did not receive the link, call (71) 4087.6145.","Dear [FIRSTNAME_1], we've sent a link to your email: [EMAIL_1] which allows you to download high-res versions of your [MEDICAL_1]. [MEDICAL_1] is not something you should face alone. If you did not receive the link, call [PHONENUMBER_1]."
284,"Dear Senior Integration Agent, regarding patient number 4666774796602688 born on 14/12/1936, we've observed positive progress. Though their 27 years presents some challenges, we believe our efforts are fruitful. Contact us via https://well-made-android.net or 0277 34235336 at 1 AM for detailed updates.","Dear [JOBTITLE_1], regarding patient number [MASKEDNUMBER_1] born on [DOB_1], we've observed positive progress. Though their [AGE_1] presents some challenges, we believe our efforts are fruitful. Contact us via [URL_1] or [PHONENUMBER_1] at [TIME_1] for detailed updates."
285,One of the most interesting facts we discovered in our Positive Psychology research is the correlation between health and Data. Any questions? Dial (92).9213-1272 for more insights.,One of the most interesting facts we discovered in our Positive Psychology research is the correlation between health and [JOBAREA_1]. Any questions? Dial [PHONENUMBER_1] for more insights.
286,"On 3/23 at 3 PM, Dr. Edyth Drew Franecki will conduct an interactive session on the impact of social media on individual behavior. For inquiries, contact us at 050.0154004 or Verona_Moore28@hotmail.com.","On [DATE_1] at [TIME_1], [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] will conduct an interactive session on the impact of social media on individual behavior. For inquiries, contact us at [PHONENUMBER_1] or [EMAIL_1]."
287,"Dear Macie, we'd like to discuss the progress of Bret in the Gifted Education Program. Can you reach us at (04)-2595-4749 or Esther41@hotmail.com?","Dear [FIRSTNAME_1], we'd like to discuss the progress of [FIRSTNAME_2] in the [ORGANIZATION_1]. Can you reach us at [PHONENUMBER_1] or [EMAIL_1]?"
288,"I was at [76.1651,-175.3911] when I received your call 09.09 85 09.33 regarding the legal ethics conference. Thank you for bringing Corporate Integration Supervisor Joy Abernathy to discuss ethical dilemmas in our Web.",I was at [NEARBYGPSCOORDINATE_1] when I received your call [PHONENUMBER_1] regarding the [ORGANIZATION_1]. Thank you for bringing [JOBTITLE_1] [FIRSTNAME_1] [LASTNAME_1] to discuss ethical dilemmas in our [JOBAREA_1].
289,"""Hello Transgender female, We've noticed multiple logins from your account Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2)  AppleWebKit/532.2.0 (KHTML, like Gecko) Chrome/36.0.884.0 Safari/532.2.0 over the past few days. It could be a security issue, please contact us at +64-85 822-9567""","""Hello [GENDER_1], We've noticed multiple logins from your account [USERAGENT_1] over the past few days. It could be a security issue, please contact us at [PHONENUMBER_1]"""
290,Medical studies suggest that people with Leukemia are more susceptible to XYD disease. Check with your local GP or call us on 08907-491442.,Medical studies suggest that people with [MEDICAL_1] are more susceptible to XYD disease. Check with your local GP or call us on [PHONENUMBER_1].
291,"Subject: Education Fund Approval - Alfred Little. Bettie, your request for an educational fund of J$237,190.56 has been processed. Contact us on +389 87-323 9633 or Curt35@gmail.com for any queries.","Subject: Education Fund Approval - [FIRSTNAME_1] [LASTNAME_1]. [FIRSTNAME_2], your request for an educational fund of [CURRENCYSYMBOL_1][AMOUNT_1] has been processed. Contact us on [PHONENUMBER_1] or [EMAIL_1] for any queries."
292,"Patient Wava Hagenes, your surgical procedure has been scheduled for 1971-09-28T07:46:15.090Z at 22 o'clock. Please plan to arrive at 60271 Ernestina Hills. Contact us at this phone number +617.561.259-0606 for further clarifications.","Patient [FIRSTNAME_1] [LASTNAME_1], your [MEDICAL_1] procedure has been scheduled for [DATE_1] at [TIME_1]. Please plan to arrive at [BUILDINGNUMBER_1] [STREET_1]. Contact us at this phone number [PHONENUMBER_1] for further clarifications."
293,"Need a East Jed property's legal documentation. Contact person: Coralie Hermiston, Ph: 0001.10919471, or Email Josiane71@hotmail.com, or DM @eastjedsocal..","Need a [CITY_1] property's legal documentation. Contact person: [FIRSTNAME_1] [LASTNAME_1], Ph: [PHONENUMBER_1], or Email [EMAIL_1], or DM [USERNAME_1].."
294,Diagnostic tool for my car is not responding. The vehicle's VIN is ND4PMLV4ZARP42585 and VRM is DI68FAH. There's no response on 2318 059 2606 as well,Diagnostic tool for my car is not responding. The vehicle's VIN is [VEHICLEVIN_1] and VRM is [VEHICLEVRM_1]. There's no response on [PHONENUMBER_1] as well
295,"Franchise 9957029551439102 at Kshlerin Cove, Hayden, showing unrecorded transactions. Please validate at +63.97-501 5218 using 9995 for secure access.","Franchise [CREDITCARDNUMBER_1] at [STREET_1], [MIDDLENAME_1], showing unrecorded transactions. Please validate at [PHONENUMBER_1] using [PIN_1] for secure access."
296,Patient case- 75680276229: Diagnosed with a collapsed disc in the spine. Is currently 149cm. Will require multiple sessions. ₨ will be required per session. Please contact on +866.045.929 0550.,Patient case- [SSN_1]: Diagnosed with a [MEDICAL_1] in the spine. Is currently [HEIGHT_1]. Will require multiple sessions. [CURRENCYSYMBOL_1] will be required per session. Please contact on [PHONENUMBER_1].
297,"Hey team, I need to schedule a physical therapy session for Jillian Kozey. She's a 61 years Female from West Art. I need someone who specializes in seniors' therapy. Respond to confirm or contact me at +645-350.168-5312.","Hey team, I need to schedule [MEDICAL_1] session for [FIRSTNAME_1] [LASTNAME_1]. She's a [AGE_1] [SEX_1] from [CITY_1]. I need someone who specializes in [JOBAREA_1]. Respond to confirm or contact me at [PHONENUMBER_1]."
298,"Hello Miles. Just want to update our company, Ernser - Becker's change management plan. Feel free to reach me on my new number (95) 2600-9158 or Elliot10@gmail.com.","Hello [FIRSTNAME_1]. Just want to update our company, [COMPANYNAME_1]'s change management plan. Feel free to reach me on my new number [PHONENUMBER_1] or [EMAIL_1]."
299,How is the effectiveness of the reflexology therapy? You can send the details to +31-975-008 4700 or Gilda84@gmail.com. Do mention about costs.,How is the effectiveness of the [MEDICAL_1]? You can send the details to [PHONENUMBER_1] or [EMAIL_1]. Do mention about costs.
1099,"Rosemary.King27, do you think your experience as a Solutions specialist would contribute to our work in psycho-oncology? We're reachable at https://evergreen-hug.info and 099 337-6244.","[USERNAME_1], do you think your experience as a [JOBAREA_1] specialist would contribute to our work in [MEDICAL_1]? We're reachable at [URL_1] and [PHONENUMBER_1]."
1100,"Hello, as Direct Security Assistant in Saxony, you are invited to attend a workshop on Transformational Leadership in Education, scheduled to take place at the main Conference Hall at Apt. 318. Please confirm attendance to 046.1458029.","Hello, as [JOBTITLE_1] in [STATE_1], you are invited to attend a workshop on Transformational Leadership in Education, scheduled to take place at the main Conference Hall at [BUILDINGNUMBER_1]. Please confirm attendance to [PHONENUMBER_1]."
1101,"Safety incident reported on Funk Expressway at 12:35, please redirect all communications to 02348 32889. Personal Loan Account has been alerted.","Safety incident reported on [STREET_1] at [TIME_1], please redirect all communications to [PHONENUMBER_1]. [ACCOUNTNAME_1] has been alerted."
1102,We offer telemedicine to 24408-7904 residents. Contact us on (840).7826633 for more information.,We offer telemedicine to [ZIPCODE_1] residents. Contact us on [PHONENUMBER_1] for more information.
1103,"Dermatology Clinic Confirmation: Name - Austin, Date - 1953-03-07T06:11:38.984Z, Time - 10:00 AM. If you need help, reach us on 08112.980430.","[ORGANIZATION_1] Confirmation: Name - [FIRSTNAME_1], Date - [DATE_1], Time - 10:00 AM. If you need help, reach us on [PHONENUMBER_1]."
1104,We are conducting a study in Accounts to understand the nutritional intake of school children. For further information please contact the Consultant of our team on this mobile number (12).2475 9317.,We are conducting a study in [JOBAREA_1] to understand the nutritional intake of school children. For further information please contact the [JOBTITLE_1] of our team on this mobile number [PHONENUMBER_1].
1105,"Dear Adolf, we have recently upgraded our diagnostic software which detected a login from an unfamiliar IP: 97.52.3.104. If unfamiliar, contact us at +130-962.105-8079.","Dear [FIRSTNAME_1], we have recently upgraded our diagnostic software which detected a login from an unfamiliar IP: [IPV4_1]. If unfamiliar, contact us at [PHONENUMBER_1]."
1106,"Dr. Nelda, your advice on Anastacioville market landscape can be pivotal. Call us on (54).9364-3209 or +43-907.845.7016.","[PREFIX_1] [LASTNAME_1], your advice on [CITY_1] market landscape can be pivotal. Call us on [PHONENUMBER_1] or [PHONENUMBER_1]."
1107,"Our annual visit to the Abruzzo museum is just around the corner. Get your child ready to learn about history and art! For any doubts or queries, you can contact us on the following number: 016-5409.4590.","Our annual visit to the [STATE_1] museum is just around the corner. Get your child ready to learn about history and art! For any doubts or queries, you can contact us on the following number: [PHONENUMBER_1]."
1108,"Literacy program starts on 23/03/1935. Event details sent to your email, Brionna_Kirlin77@gmail.com. For queries, contact 02-75.74-09-41.","Literacy program starts on [DATE_1]. Event details sent to your email, [EMAIL_1]. For queries, contact [PHONENUMBER_1]."
1109,"Re: Trademark dispute of Johnston and Sons. Complaint has been lodged in Borders, Wisconsin court. Opposition's attorney Vinnie can be reached at 0560-76066548. For settlement details, connect with our in-house attorney at Garett64@yahoo.com.","Re: Trademark dispute of [ORGANIZATION_1]. Complaint has been lodged in [COUNTY_1], [STATE_1] court. Opposition's attorney [FIRSTNAME_1] can be reached at [PHONENUMBER_1]. For settlement details, connect with our in-house attorney at [EMAIL_1]."
1110,"Dear Nikki, based on your account number 29407041, we have dispatched the medication for you. For any queries, please feel free to reach us at 02892-245905.","Dear [FIRSTNAME_1], based on your account number [ACCOUNTNUMBER_1], we have dispatched the [MEDICAL_1] for you. For any queries, please feel free to reach us at [PHONENUMBER_1]."
1111,"Rupert, your request as the Central Quality Strategist has been processed. Softcopy materials will be sent to your Wyman14@yahoo.com. For other queries, call us on +00-194-409.1007","[FIRSTNAME_1], your request as the [JOBTITLE_1] has been processed. Softcopy materials will be sent to your [EMAIL_1]. For other queries, call us on [PHONENUMBER_1]"
1112,"Hello Mrs. Nikolaus, we've found a missing document related to the Zackaryfurt city ordinance against Konopelski - Kutch. Please send it ASAP. Call us at 044 346.2730 for more information.","Hello [PREFIX_1] [LASTNAME_1], we've found a missing document related to the [CITY_1] city ordinance against [ORGANIZATION_1]. Please send it ASAP. Call us at [PHONENUMBER_1] for more information."
1113,"Just a quick memo that the change management training for Infrastructure department will be on August 25, 1933 at 13. Contact Amelie on 9544 384 3751 or Riley_Klocko@yahoo.com for any concerns.",Just a quick memo that the change management training for [JOBAREA_1] department will be on [DATE_1] at [TIME_1]. Contact [FIRSTNAME_1] on [PHONENUMBER_1] or [EMAIL_1] for any concerns.
1114,"Concepcion Kovacek has a scheduled oncology appointment. Make sure that her contact information (89-578048-125375-0, 1156 401 8454) is well noted.","[FIRSTNAME_1] [LASTNAME_1] has a scheduled [MEDICAL_1] appointment. Make sure that her contact information ([PHONEIMEI_1], [PHONENUMBER_1]) is well noted."
1115,"1. Request for legal aid regarding Civil Rights violation. Anya Kennedy Quigley, Female living in Monroe County, New York born 1913-08-17T09:30:46.616Z. Contact on 010 6502-9794 or Sierra_White66@hotmail.com. Legal docs can be sent to Casper Loaf 36782, Suite 328, 84832-9164.","1. Request for legal aid regarding Civil Rights violation. [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1], [SEX_1] living in [COUNTY_1], [STATE_1] born [DOB_1]. Contact on [PHONENUMBER_1] or [EMAIL_1]. Legal docs can be sent to [STREET_1] [BUILDINGNUMBER_1], [BUILDINGNUMBER_1], [ZIPCODE_1]."
1116,"I am Alanis Reese, principal of the school. Feel free to contact me anytime at +02-866 679.1057 or Haylie_Lakin81@gmail.com. Keeping open channels of communication will benefit us all, especially our students.","I am [FIRSTNAME_1] [MIDDLENAME_1], [JOBTITLE_1] of the school. Feel free to contact me anytime at [PHONENUMBER_1] or [EMAIL_1]. Keeping open channels of communication will benefit us all, especially our students."
1117,"Hello Ms. Wolf, Hope you are doing great. We could use your expert input in organizing new extracurricular activities. If you are interested, do call us at (485)-5021789.","Hello [PREFIX_1] [LASTNAME_1], Hope you are doing great. We could use your expert input in organizing new extracurricular activities. If you are interested, do call us at [PHONENUMBER_1]."
1118,"For the upcoming camping trip, we will be setting up our camp at Northwest and exploring trails nearby. A detailed itinerary will be shared soon on the school website. Contact us for any queries at 5355.922 8426.","For the upcoming camping trip, we will be setting up our camp at [ORDINALDIRECTION_1] and exploring trails nearby. A detailed itinerary will be shared soon on the school website. Contact us for any queries at [PHONENUMBER_1]."
1119,"Rosalia.Carroll34, your online training on Individualized Education Programs (IEPs) starts at 18:57. Use this link: https://acrobatic-contrast.info. Any issues, call us on (934)-9649598.","[USERNAME_1], your online training on Individualized Education Programs (IEPs) starts at [TIME_1]. Use this link: [URL_1]. Any issues, call us on [PHONENUMBER_1]."
1120,"Transfer funds for Alvera's meal plan. Send Tugrik $ to PK19EANX8800109608050723. For assistance, call us on 023-5980057 with the device having Opera/13.26 (Macintosh; Intel Mac OS X 10.7.2 U; MY Presto/2.9.160 Version/11.00).","Transfer funds for [FIRSTNAME_1]'s meal plan. Send [CURRENCY_1] [CURRENCYSYMBOL_1] to [IBAN_1]. For assistance, call us on [PHONENUMBER_1] with the device having [USERAGENT_1]."
1121,"Dear, Mr. Boehm. Please make note of Ethelyn11 misbehaviour in today's class. We have to notify the parent with this contact number (26).6842-1909 about the situation. Also, remember to keep the conversation observational and objective.","Dear, [PREFIX_1] [LASTNAME_1]. Please make note of [USERNAME_1] misbehaviour in today's class. We have to notify the parent with this contact number [PHONENUMBER_1] about the situation. Also, remember to keep the conversation observational and objective."
1122,"Hi Mrs. Larson, we are glad to inform you about an upcoming group session on Humanistic Therapy, taking place on 02/11/1954 in Fort Tommie. We hope to see you there. Reach out to us at Dayna.Turner@hotmail.com or through 05808.326654 for further details.","Hi [PREFIX_1] [LASTNAME_1], we are glad to inform you about an upcoming group session on [MEDICAL_1], taking place on [DATE_1] in [CITY_1]. We hope to see you there. Reach out to us at [EMAIL_1] or through [PHONENUMBER_1] for further details."
1123,"Legal representation granted to Elena Windler, injured on 19/01/2016. Claims lodged against the driver of the vehicle BN50ODN. Reach out at 018-016.1726 or email at Jerad.Kiehn@gmail.com for further queries.","Legal representation granted to [FIRSTNAME_1] [LASTNAME_1], injured on [DATE_1]. Claims lodged against the driver of the vehicle [VEHICLEVRM_1]. Reach out at [PHONENUMBER_1] or email at [EMAIL_1] for further queries."
1124,"""Hello Ruthie, please provide the school with your students' emergency contact 07 7871.9803 and an additional Suite 866 by next week.""","""Hello [FIRSTNAME_1], please provide the school with your students' emergency contact [PHONENUMBER_1] and an additional [BUILDINGNUMBER_1] by next week."""
1125,Injured at work on 14/06/1923. Due to supervisor's negligence at Ritchie - Lindgren. Contact 038.1404-6298.,Injured at work on [DATE_1]. Due to supervisor's negligence at [ORGANIZATION_1]. Contact [PHONENUMBER_1].
1126,"During recent research on cognitive behaviour, we've been using a server at af6e:3e38:bdc3:aba5:f637:fd7c:a69a:a74a within Roystad county to access data. Patient Gwen Riley Marvin took part in the study. For further details, please contact the assigned Manager on 04-0425 4543.","During recent research on cognitive behaviour, we've been using a server at [IPV6_1] within [COUNTY_1] to access data. Patient [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] took part in the study. For further details, please contact the assigned [JOBTYPE_1] on [PHONENUMBER_1]."
1127,"Shakira, the requested policy has been processed for Tanzanian Shilling 891461.62. You will receive an original hard copy at your address 29220, Arch Mill, West Ayla, 65556-3174 within 7 business days. You can reach out to us at 041.7559.9970.","[FIRSTNAME_1], the requested policy has been processed for [CURRENCY_1] [AMOUNT_1]. You will receive an original hard copy at your address [BUILDINGNUMBER_1], [STREET_1], [CITY_1], [ZIPCODE_1] within 7 business days. You can reach out to us at [PHONENUMBER_1]."
1128,"Hi Precious, there's a literacy program at the community center in East Mae. Contact 5696 854 6460 for details.","Hi [FIRSTNAME_1], there's a literacy program at the community center in [CITY_1]. Contact [PHONENUMBER_1] for details."
1129,"Dear parents, we're introducing a new behavior management platform. Please register using Apt. 841 and secure it with j3L3lduDT0_g. Direct any queries to 001.5487348.","Dear parents, we're introducing a new behavior management platform. Please register using [BUILDINGNUMBER_1] and secure it with [PASSWORD_1]. Direct any queries to [PHONENUMBER_1]."
1130,"Mrs. Hoeger, we are trying to organize some special extracurricular activities for the students. Your guidance is much needed! Please call me at 003.1797-7405 to discuss further.","[PREFIX_1] [LASTNAME_1], we are trying to organize some special extracurricular activities for the students. Your guidance is much needed! Please call me at [PHONENUMBER_1] to discuss further."
1131,Payment of CFA Franc BCEAO via GR230087027709667Y64P6O23F6 for new device. Check with 01 33 69 05.35 for verification.,Payment of [CURRENCY_1] via [IBAN_1] for new device. Check with [PHONENUMBER_1] for verification.
1132,"I am Ms. Kaylin Brooklyn Mosciski from Langosh, Herman and McGlynn's Implementation department, and I am looking for ways to contribute to your Social Responsibility Program. You may reach out to me at 0661.274.7933 for further discussion.","I am [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] from [ORGANIZATION_1]'s [JOBAREA_1] department, and I am looking for ways to contribute to your Social Responsibility Program. You may reach out to me at [PHONENUMBER_1] for further discussion."
1133,"To monitor your child's online class attendance and behavior reports, login to our parent portal at Apt. 201 using KMC0Ck66u4xE. If assistance is needed, call us at (006) 3185072.","To monitor your child's online class attendance and behavior reports, login to our parent portal at [BUILDINGNUMBER_1] using [PASSWORD_1]. If assistance is needed, call us at [PHONENUMBER_1]."
1134,"Makenna, you might want to take a look at the latest accessibility report from our Strategist. It contains crucial data on the health outcomes of people in our care. Call them at (82)-0209.5525.","[FIRSTNAME_1], you might want to take a look at the latest accessibility report from our [JOBTITLE_1]. It contains crucial data on the health outcomes of people in our care. Call them at [PHONENUMBER_1]."
1135,"Parents of athletes in our school, residing in 79421-0032, please join us for a meeting to discuss our athletic program upgrades. RSVP at 084 154.5361. Let's shape the future together!","Parents of athletes in our school, residing in [ZIPCODE_1], please join us for a meeting to discuss our athletic program upgrades. RSVP at [PHONENUMBER_1]. Let's shape the future together!"
1136,"Participants are needed for a study in psycho-oncology. We are looking for individuals of 89 years years and above of any gender. Are you interested in participating? If so, contact us at https://pristine-garlic.net or +12.110 580.4746.","Participants are needed for a study in psycho-oncology. We are looking for individuals of [AGE_1] years and above of any gender. Are you interested in participating? If so, contact us at [URL_1] or [PHONENUMBER_1]."
1137,"For prompt service for any technology support within Borders, please dial 03 05.69.21-46 and provide them the eb:97:3e:c9:32:c1.","For prompt service for any technology support within [COUNTY_1], please dial [PHONENUMBER_1] and provide them the [MAC_1]."
1138,"In line with new tax laws, transactions from your account Personal Loan Account (number 99239538) must be reviewed. Need your password l7GUD1mvUzTg to proceed. Call me at 0907-34254272.","In line with new tax laws, transactions from your account [ACCOUNTNAME_1] (number [ACCOUNTNUMBER_1]) must be reviewed. Need your password [PASSWORD_1] to proceed. Call me at [PHONENUMBER_1]."
1139,Can I contact T* woman to gather more background information? 00744.496126 is it right?,Can I contact [GENDER_1] to gather more background information? [PHONENUMBER_1] is it right?
1140,"Ms. Mills, your oncology treatment payments have been charged to Savings Account. If there is any discrepancy, kindly contact us on 07-03-39-19.17.","[PREFIX_1] [LASTNAME_1], your [MEDICAL_1] payments have been charged to [ACCOUNTNAME_1]. If there is any discrepancy, kindly contact us on [PHONENUMBER_1]."
1141,"Our next target region for enhancing health access is Occitanie. Prospects like Mr. Huel, from South Nico. She works as a Chief Markets Architect and can be reached via (30) 4999 3389, or Lily_Casper@gmail.com. Her feedback is crucial.","Our next target region for enhancing health access is [STATE_1]. Prospects like [PREFIX_1] [LASTNAME_1], from [CITY_1]. She works as a [JOBTITLE_1] and can be reached via [PHONENUMBER_1], or [EMAIL_1]. Her feedback is crucial."
1142,I am writing to confirm intellectual property rights for products designed under my role as Specialist. Contact number for clarification 09377.874267. Revert at your earliest convenience.,I am writing to confirm intellectual property rights for products designed under my role as [JOBTITLE_1]. Contact number for clarification [PHONENUMBER_1]. Revert at your earliest convenience.
1143,Please contact Mrs. Taylor regarding the payment status of entrepreneurial venture https://lanky-proof-reader.com. Use the provided contact - Phone +803 18.265.0515 and make sure you check the payment in 26523946 of bank WQUNZAWS.,Please contact [PREFIX_1] [MIDDLENAME_1] regarding the payment status of entrepreneurial venture [URL_1]. Use the provided contact - Phone [PHONENUMBER_1] and make sure you check the payment in [ACCOUNTNUMBER_1] of bank [BIC_1].
1144,"The maternal and child health program, for residents of 29272, aims to bring tailored healthcare in the 4234 complex, Apt. 134. Please, call our nurses at +21 612.709-2117 to schedule a visit.","The maternal and child health program, for residents of [ZIPCODE_1], aims to bring tailored healthcare in the [BUILDINGNUMBER_1] complex, [BUILDINGNUMBER_1]. Please, call our nurses at [PHONENUMBER_1] to schedule a visit."
1145,"Regarding Mathematics Education policy changes, send your suggestion to 021 2364581 using device with MAC address 56:27:58:6d:e5:bf.","Regarding Mathematics Education policy changes, send your suggestion to [PHONENUMBER_1] using device with MAC address [MAC_1]."
1146,"Our latest social responsibility project kicks off in Ornchester next month. Would you be available for a discussion about this, Skiles? You can reach me at 03 13.97 41.84.","Our latest social responsibility project kicks off in [CITY_1] next month. Would you be available for a discussion about this, [LASTNAME_1]? You can reach me at [PHONENUMBER_1]."
1147,"Hello Jefferey! Your therapist has shared some useful materials for your home practice. Check these resources at https://corny-jewellery.com. If you need technical assistance, reach us either by email at Jace28@gmail.com or by phone +21.031-012 7767.","Hello [FIRSTNAME_1]! Your therapist has shared some useful materials for your home practice. Check these resources at [URL_1]. If you need technical assistance, reach us either by email at [EMAIL_1] or by phone [PHONENUMBER_1]."
1148,We require a Central Quality Administrator talented in Infrastructure to take our school's early education framework to the next level. Contact us at 08.92 48-62-60.,We require a [JOBTITLE_1] talented in [JOBAREA_1] to take our school's early education framework to the next level. Contact us at [PHONENUMBER_1].
1149,Patient with ID 9617168310368776 has been admitted. Primary contact 051 2629 3374. Scheduled checkup with Dr Otha Bechtelar on 1940-03-26T19:34:40.476Z at 14.,Patient with ID [MASKEDNUMBER_1] has been admitted. Primary contact [PHONENUMBER_1]. Scheduled checkup with Dr [FIRSTNAME_1] [LASTNAME_1] on [DATE_1] at [TIME_1].
1150,We've a new case pending. A vessel with VIN B8M70H586PH828144 has allegedly sailed into restricted waters off the Adams County coast. Please contact us at 03 80-19-59-23 for more information.,We've a new case pending. A vessel with VIN [VEHICLEVIN_1] has allegedly sailed into restricted waters off the [COUNTY_1] coast. Please contact us at [PHONENUMBER_1] for more information.
1151,I am a Consultant living in Umbria. Can I book a session before my shift at 1:52 AM? My contact number is 000-6531891.,I am a [JOBTITLE_1] living in [STATE_1]. Can I book a session before my shift at [TIME_1]? My contact number is [PHONENUMBER_1].
1152,"Dear Jayce, Can we discuss the stakeholder strategy document? Call me at 034-9559-5356 today.","Dear [FIRSTNAME_1], Can we discuss the stakeholder strategy document? Call me at [PHONENUMBER_1] today."
1153,"(383)-3599193 franchise, detected sign-ins from unregistered 2e08:8ec9:bf5c:9ab4:a6c3:a5d5:bfda:3d8a. Please reset credentials immediately and inform the regional Mid Glamorgan management.","[PHONENUMBER_1] franchise, detected sign-ins from unregistered [IPV6_1]. Please reset credentials immediately and inform the regional [COUNTY_1] management."
1154,Accepted your request to transfer funds to account DK6505873904130084 with swift code SRHEBTKU. Funds will be available by tonight. Reach out at +695 662-265 6989 for queries.,Accepted your request to transfer funds to account [IBAN_1] with swift code [BIC_1]. Funds will be available by tonight. Reach out at [PHONENUMBER_1] for queries.
1155,"Dear Dr. Legros, I need to talk with you about Genoveva's performance. I have some ideas for improvement. Please let me know a time that works best for you for a call on +73.664.054.0152 or a reply to Tom_Schmitt@hotmail.com. Best regards, Randall (Associate)","Dear [PREFIX_1] [LASTNAME_1], I need to talk with you about [FIRSTNAME_1]'s performance. I have some ideas for improvement. Please let me know a time that works best for you for a call on [PHONENUMBER_1] or a reply to [EMAIL_1]. Best regards, [FIRSTNAME_2] ([JOBTITLE_1])"
1156,"Dear International Group Orchestrator, as a key member of Little, Corwin and Lowe, we believe your opinion is important regarding our healthcare policy. Contact 00042-143029 for more details.","Dear [JOBTITLE_1], as a key member of [ORGANIZATION_1], we believe your opinion is important regarding our [MEDICAL_1] policy. Contact [PHONENUMBER_1] for more details."
1157,"Dear Mrs. Cummerata-Ebert, as a Assistant dealing with mental health disorders, we suggest a detailed analysis of your current state. Please call back at (10) 1345.5882 at your earliest convenience.","Dear [PREFIX_1] [LASTNAME_1], as a [JOBTITLE_1] dealing with [MEDICAL_1], we suggest a detailed analysis of your current state. Please call back at [PHONENUMBER_1] at your earliest convenience."
1158,"In line with our annual tradition, we are starting to plan out the end-of-year field trip. This year we intend to visit Angelita Green Park! If any parents want to volunteer, please contact us at +16 108.729 8350.","In line with our annual tradition, we are starting to plan out the end-of-year field trip. This year we intend to visit [STREET_1] Park! If any parents want to volunteer, please contact us at [PHONENUMBER_1]."
1159,"In the field of Endocrinology, Miss Schumm has made remarkable contributions. She can be reached at +044 64.212.4227 or, alternatively, Vicky14@yahoo.com. Her current tenure is with Bradtke and Sons as a Principal Data Officer.","In the field of [MEDICAL_1], [PREFIX_1] [LASTNAME_1] has made remarkable contributions. She can be reached at [PHONENUMBER_1] or, alternatively, [EMAIL_1]. Her current tenure is with [ORGANIZATION_1] as a [JOBTITLE_1]."
1160,"Dear Mr., regarding the upcoming Endocrinology conference, I'd appreciate a confirmation of your participation. I'm available at (83).2133.2684 if you have any questions.","Dear [PREFIX_1], regarding the upcoming [MEDICAL_1] conference, I'd appreciate a confirmation of your participation. I'm available at [PHONENUMBER_1] if you have any questions."
1161,Tax law has been amended for those working with cryptocurrencies. Required: tax id and a list of your 3EkFUqPNUiZGif6urM26rqqmLRj and 0xfc1ca418ccf4eb5bfb3fbec9a8c71105dc69e683 transactions. Call +458-991-146-7671 for clarification.,Tax law has been amended for those working with cryptocurrencies. Required: tax id and a list of your [BITCOINADDRESS_1] and [ETHEREUMADDRESS_1] transactions. Call [PHONENUMBER_1] for clarification.
1162,Filing protective orders for 55086-0720. Effective by 10 PM. Contact +506 546-065.0065 for queries.,Filing protective orders for [ZIPCODE_1]. Effective by [TIME_1]. Contact [PHONENUMBER_1] for queries.
1163,"Successfully outsourced major parts of our Integration operations to O'Kon, Kulas and Graham. Connect with Josiane.Bayer@hotmail.com for any related issues. For emergencies please use this contact +66-15-170.2387.",Successfully outsourced major parts of our [JOBAREA_1] operations to [ORGANIZATION_1]. Connect with [EMAIL_1] for any related issues. For emergencies please use this contact [PHONENUMBER_1].
1164,"Joe Huel, we want to remind you of your upcoming cognitive therapy session on September 13, 1919 at 4 o'clock. Please visit us at 58783 Kris Fort Passaic 49829-4817. You may call us at (05)-3808.5421 or email us at Jayme.Deckow-Bosco89@gmail.com if you have any issues. The fees remain at лв418922.","[FIRSTNAME_1] [LASTNAME_1], we want to remind you of your upcoming [MEDICAL_1] session on [DATE_1] at [TIME_1]. Please visit us at [BUILDINGNUMBER_1] [STREET_1] [CITY_1] [ZIPCODE_1]. You may call us at [PHONENUMBER_1] or email us at [EMAIL_1] if you have any issues. The fees remain at [CURRENCYSYMBOL_1][AMOUNT_1]."
1165,Our sports coach Kristian Adams will now be taking sessions for our gifted students. You can reach him at 0188 17087875 for any queries.,Our sports coach [FIRSTNAME_1] [LASTNAME_1] will now be taking sessions for our gifted students. You can reach him at [PHONENUMBER_1] for any queries.
1166,"Hi Mr. Stark, if you are available this Friday, we would like to hear your ideas on renovating the extracurricular activities of the school. Reach us at (773).0419164 whenever you have time.","Hi [PREFIX_1] [LASTNAME_1], if you are available this Friday, we would like to hear your ideas on renovating the extracurricular activities of the school. Reach us at [PHONENUMBER_1] whenever you have time."
1167,The Tremblay and Sons Foundation is conducting a literacy program in Fort Cydneystad. Registrations are open now. Contact Walton at 055 8662.4327.,The [COMPANYNAME_1] Foundation is conducting a literacy program in [CITY_1]. Registrations are open now. Contact [FIRSTNAME_1] at [PHONENUMBER_1].
