,Unnamed: 0,unmasked_text,masked_text,phone_number,target,manual target,zero if wrong,false positives,false negatives
524,524,"The school is arranging a field trip to Fay Way next month. All interested students are required to fill up the permission slips sent out last week. For queries, reach us at +981-162-701-3801.","The school is arranging a field trip to [STREET_1] next month. All interested students are required to fill up the permission slips sent out last week. For queries, reach us at [PHONENUMBER_1].",-3683,TEL,TEL,,,
525,525,"Nicolas will be spearheading a seminar on product development on 27/07/1972, in Port Arch. The invitation link is on https://short-bow.info. Contact +289.991.644.2553 for more info.","[FIRSTNAME_1] will be spearheading a seminar on product development on [DATE_1], in [CITY_1]. The invitation link is on [URL_1]. Contact [PHONENUMBER_1] for more info.",+289.991.644.2553,TEL,TEL,,,
526,526,"Hello, this is regarding your inquiry about our sports psychology services. Our team is experienced in dealing with athletes of all ages, including those who are 58 years. For further details, feel free to call us on +551-89 395 1408.","Hello, this is regarding your inquiry about our sports psychology services. Our team is experienced in dealing with athletes of all ages, including those who are [AGE_1]. For further details, feel free to call us on [PHONENUMBER_1].",+551-89 395 1408,O,,,,
527,527,"Considering the results from our health survey, it's clear that regions like North East England need our attention. Residents like Dr. Kai need access to better healthcare. Set a call at +58-70-362-6954 to discuss.","Considering the results from our health survey, it's clear that regions like [STATE_1] need our attention. Residents like [PREFIX_1] [MIDDLENAME_1] need access to better healthcare. Set a call at [PHONENUMBER_1] to discuss.",-7328,O,,,,
528,528,Hi Etha! Excited about your upcoming fight. Our team at Walter Group is available to handle any legalities surrounding the event. Give us a call at +004.239-393.9779 or ping us at Maymie_Hane50@yahoo.com.,Hi [FIRSTNAME_1]! Excited about your upcoming fight. Our team at [COMPANYNAME_1] is available to handle any legalities surrounding the event. Give us a call at [PHONENUMBER_1] or ping us at [EMAIL_1].,-389.7389,TEL,TEL,,,
529,529,Subject: Algebra Tutoring Session. Hi Lelia can we reschedule our session? I am available on 10/03/1912 if that suits you. Please reach me at +337 331 483 5610 or email me at Frankie_Littel@yahoo.com.,Subject: Algebra Tutoring Session. Hi [FIRSTNAME_1] can we reschedule our session? I am available on [DATE_1] if that suits you. Please reach me at [PHONENUMBER_1] or email me at [EMAIL_1].,+337 331 483 5610,TEL,,,,
530,530,"We are pleased to report we've secured the outsourced work for Functionality matters based on Batz LLC. Please update our records with this new 78-436197-273974-0 number, and for correspondence, use the following details: Renee.Krajcik-Bergstrom21@yahoo.com, 041 8773942.","We are pleased to report we've secured the outsourced work for [JOBAREA_1] matters based on [COMPANYNAME_1]. Please update our records with this new [PHONEIMEI_1] number, and for correspondence, use the following details: [EMAIL_1], [PHONENUMBER_1].",041 8773942,TEL,,,,
531,531,"Hello Mr. Steuber, our primary objective is to provide the best care possible for our patients. We highly value your feedback on the care you received on 14/03/2003. Would you kindly contact us on 0356-95141034 to share your experience?","Hello [PREFIX_1] [LASTNAME_1], our primary objective is to provide the best care possible for our patients. We highly value your feedback on the care you received on [DATE_1]. Would you kindly contact us on [PHONENUMBER_1] to share your experience?",0356-95141034,O,,,,
532,532,Reminder for Dr. Huel about your oncologic consultation tomorrow. Reach us at 051 870-2115 if there is an issue.,Reminder for [PREFIX_1] [LASTNAME_1] about your oncologic consultation tomorrow. Reach us at [PHONENUMBER_1] if there is an issue.,051 870-2115,TEL,TEL,,,
533,533,"Hi Miles Smitham, your cognitive therapy appointment is ready on 25th March at 21:53. Location is 24673, W Washington Avenue, Hendersonville. The cost for the session is kr77353 and can be paid through bank account: 39620131. If there's anything else you need, please contact us at 7215.577-0061 or Annetta_Zulauf@gmail.com.","Hi [FIRSTNAME_1] [LASTNAME_1], your cognitive therapy appointment is ready on [DATE_1] at [TIME_1]. Location is [BUILDINGNUMBER_1], [STREET_1], [CITY_1]. The cost for the session is [CURRENCYSYMBOL_1][AMOUNT_1] and can be paid through bank account: [ACCOUNTNUMBER_1]. If there's anything else you need, please contact us at [PHONENUMBER_1] or [EMAIL_1].",7215.577-0061,O,O,,,
534,534,"Okey's palliative care updates can be sought by family members using the unique patient portal. Access credentials have been sent to the registered Julie_Schamberger@hotmail.com. For queries, please call 08656 67482.","[FIRSTNAME_1]'s palliative care updates can be sought by family members using the unique patient portal. Access credentials have been sent to the registered [EMAIL_1]. For queries, please call [PHONENUMBER_1].",08656 67482,TEL,,,,
535,535,"Our team, Stiedemann - Rath, is researching the litigation rates in the Security. Mrs. Beryl, could we secure an hour of your time for an informative meeting? Please contact us via this Shana_Wilderman12@yahoo.com or call our office at 008 3511 1541.","Our team, [COMPANYNAME_1], is researching the litigation rates in the [JOBAREA_1]. [PREFIX_1] [FIRSTNAME_1], could we secure an hour of your time for an informative meeting? Please contact us via this [EMAIL_1] or call our office at [PHONENUMBER_1].",008 3511 1541,O,,,,
536,536,"Good day Lesley, you have a cognitive therapy session scheduled on 7/43 at 05:15 at our clinic 3141 Kestrel Close, Yonkers, Hauts-de-France 26362. Let us know if you can't make it on Alfonso_Ziemann22@gmail.com or 054 0522086. The cost of each session is ???322535.73.","Good day [FIRSTNAME_1], you have a cognitive therapy session scheduled on [DATE_1] at [TIME_1] at our clinic [BUILDINGNUMBER_1] [STREET_1], [CITY_1], [STATE_1] [ZIPCODE_1]. Let us know if you can't make it on [EMAIL_1] or [PHONENUMBER_1]. The cost of each session is [CURRENCYSYMBOL_1][AMOUNT_1].",054 0522086,TEL,,,,
537,537,"Patient record: Maximillia Schimmel; Age: 85; Gender: Male to female; Contact : Phone -> 09 6536-1984, Email -> Hunter.Kling@yahoo.com, Address -> Annie Freeway Suite 479, Corrineberg, Michigan; Sequentially, refer to the medical scanner data uploaded to server IP 162.11.103.40.","Patient record: [FIRSTNAME_1] [LASTNAME_1]; Age: [AGE_1]; Gender: [GENDER_1]; Contact : Phone -> [PHONENUMBER_1], Email -> [EMAIL_1], Address -> [STREET_1] [SECONDARYADDRESS_1], [CITY_1], [STATE_1]; Sequentially, refer to the medical scanner data uploaded to server IP [IPV4_1].",09 6536-1984,O,,,,
538,538,"Notice: There has been an attempt to submit your assignment from an unusual IPV6 c2de:ff9b:3a52:a4da:ced3:a0ef:a6ed:6d1e. Confirm if you recognize it. For further queries, contact +08-141-701.4204","Notice: There has been an attempt to submit your assignment from an unusual IPV6 [IPV6_1]. Confirm if you recognize it. For further queries, contact [PHONENUMBER_1]",-834.4204,O,,,,
539,539,"Our Communications training starts 06:27. Please block your calendar. For any issues, reach out at +63.112-382.5953.","Our [JOBAREA_1] training starts [TIME_1]. Please block your calendar. For any issues, reach out at [PHONENUMBER_1].",-319.4833,O,,,,
540,540,"North Dakota Schools, to meet better nutrition needs, need a contribution of NT$650,419.93. You can call our helpline at 08 6955.8386 for payment instructions.","[STATE_1] Schools, to meet better nutrition needs, need a contribution of [CURRENCYSYMBOL_1][AMOUNT_1]. You can call our helpline at [PHONENUMBER_1] for payment instructions.",08 6955.8386,O,,,,
541,541,"Ronny, to improve our communication, we've updated the contact number in our records to (62)-4599.5938. For any changes, please reply to Cleo.Schaefer97@yahoo.com with the subject 'UPDATE CONTACT NUMBER'.","[FIRSTNAME_1], to improve our communication, we've updated the contact number in our records to [PHONENUMBER_1]. For any changes, please reply to [EMAIL_1] with the subject 'UPDATE CONTACT NUMBER'.",(62)-4599.5938,O,,,,
542,542,Notification: litigation of account Personal Loan Account under number 23436006 has begun. Reach us at +259 93 297.4912.,Notification: litigation of account [ACCOUNTNAME_1] under number [ACCOUNTNUMBER_1] has begun. Reach us at [PHONENUMBER_1].,+259 93 297.4912,O,,,,
543,543,Patient Fredrick with insurance account 22661006 and SSN 756.9719.4002 is scheduled for general cleaning on 12/05/1973. Please send a confirmation text message to his mobile number +736 435 268.6135 today.,Patient [FIRSTNAME_1] with insurance account [ACCOUNTNUMBER_1] and SSN [SSN_1] is scheduled for general cleaning on [DATE_1]. Please send a confirmation text message to his mobile number [PHONENUMBER_1] today.,+736 435 268.6135,TEL,TEL,,,
544,544,We received your request Jaleel. We'll get in touch with you at 048 782 9867 soon.,We received your request [FIRSTNAME_1]. We'll get in touch with you at [PHONENUMBER_1] soon.,048 782 9867,TEL,,,,
545,545,"Hi, just signed up for a new start-up venture. Here's my information for the records: Forest Road, Building no. 920, County Armagh, North Carolina, ZIP: 03616. Phone: (28)-5333-1243. Job Title: Corporate Tactics Architect.","Hi, just signed up for a new start-up venture. Here's my information for the records: [STREET_1], Building no. [BUILDINGNUMBER_1], [COUNTY_1], [STATE_1], ZIP: [ZIPCODE_1]. Phone: [PHONENUMBER_1]. Job Title: [JOBTITLE_1].",(28)-5333-1243,O,,,,
546,546,"Frederic_Cormier14, we noticed you missed our last session. Call us ASAP on (83).1657 1303 to reschedule.","[USERNAME_1], we noticed you missed our last session. Call us ASAP on [PHONENUMBER_1] to reschedule.",(83).1657 1303,O,,,,
547,547,Urgent: Ignatius Kyle is responsible for Turcotte Inc case litigation. Query on 01-93.83 26-27 or reach at Noemi_OHara@gmail.com.,Urgent: [FIRSTNAME_1] [MIDDLENAME_1] is responsible for [COMPANYNAME_1] case litigation. Query on [PHONENUMBER_1] or reach at [EMAIL_1].,01-93.83 26-27,O,,,,
